"75";"Забайкальский край";"12";"3,38";"Забайкальский край";"28,14";
"76";"Ярославская обл.";"13";"33,35,37,44,50,69";"Ярославская обл.";;
"79";"Еврейская авт. обл.";"2";;"Еврейская авт. обл.";"28,27";
"8";"Калмыкия - Хальмг Тангч респ.";"3";"30,34,5,61,26";"Калмыкия - Хальмг Тангч респ.";;
"82";"Крым Авт. Респ.";"25";"23";"Крым Авт. Респ.";;
"83";"Ненецкий авт. окр. ";;;;;
"86";"Ханты-Мансийский авт. окр.";;;;;
"87";"Чукотский авт. окр. ";"2";;"Чукотский авт. окр. ";"41,49,14";
"89";"Ямало-Ненецкий авт. окр. ";;;;;
"9";"Карачаево-Черкесская респ.";"4";"7,23,26";"Карачаево-Черкесская респ.";;
